Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.631,0.479,0.231
birch,Recall,0.0,1.0,0.333,0.444,0.422,0.18
birch,F-Score,0.0,1.0,0.5,0.488,0.419,0.177
iforest,Precision,0.0,1.0,1.0,0.631,0.479,0.231
iforest,Recall,0.0,1.0,0.333,0.452,0.428,0.184
iforest,F-Score,0.0,1.0,0.5,0.493,0.423,0.181
knn,Precision,0.0,1.0,1.0,0.631,0.479,0.231
knn,Recall,0.0,1.0,0.333,0.452,0.428,0.184
knn,F-Score,0.0,1.0,0.5,0.493,0.423,0.181
lstm,Precision,0.0,1.0,1.0,0.627,0.478,0.23
lstm,Recall,0.0,1.0,0.333,0.444,0.422,0.18
lstm,F-Score,0.0,1.0,0.5,0.487,0.419,0.177
svm,Precision,0.0,1.0,1.0,0.631,0.479,0.231
svm,Recall,0.0,1.0,0.333,0.455,0.43,0.187
svm,F-Score,0.0,1.0,0.5,0.496,0.425,0.182
