Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.832,0.357,0.128
birch,Recall,0.0,1.0,1.0,0.71,0.376,0.143
birch,F-Score,0.0,1.0,1.0,0.744,0.353,0.126
iforest,Precision,0.0,1.0,1.0,0.844,0.354,0.126
iforest,Recall,0.0,1.0,1.0,0.702,0.376,0.142
iforest,F-Score,0.0,1.0,1.0,0.743,0.35,0.123
knn,Precision,0.0,1.0,1.0,0.844,0.354,0.126
knn,Recall,0.0,1.0,1.0,0.702,0.376,0.142
knn,F-Score,0.0,1.0,1.0,0.743,0.35,0.123
lstm,Precision,0.0,1.0,1.0,0.836,0.356,0.127
lstm,Recall,0.0,1.0,1.0,0.702,0.376,0.142
lstm,F-Score,0.0,1.0,1.0,0.74,0.351,0.124
svm,Precision,0.0,1.0,1.0,0.844,0.354,0.126
svm,Recall,0.0,1.0,1.0,0.702,0.376,0.142
svm,F-Score,0.0,1.0,1.0,0.743,0.35,0.123
