Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.385,0.487,0.239
birch,Recall,0.0,1.0,0.0,0.354,0.462,0.215
birch,F-Score,0.0,1.0,0.0,0.364,0.467,0.22
iforest,Precision,0.0,1.0,0.0,0.362,0.48,0.233
iforest,Recall,0.0,1.0,0.0,0.338,0.461,0.214
iforest,F-Score,0.0,1.0,0.0,0.346,0.465,0.218
knn,Precision,0.0,1.0,0.0,0.346,0.476,0.228
knn,Recall,0.0,1.0,0.0,0.323,0.455,0.209
knn,F-Score,0.0,1.0,0.0,0.331,0.459,0.213
lstm,Precision,0.0,1.0,0.0,0.392,0.488,0.24
lstm,Recall,0.0,1.0,0.0,0.358,0.461,0.214
lstm,F-Score,0.0,1.0,0.0,0.369,0.466,0.219
svm,Precision,0.0,1.0,0.0,0.385,0.487,0.239
svm,Recall,0.0,1.0,0.0,0.358,0.465,0.218
svm,F-Score,0.0,1.0,0.0,0.367,0.469,0.222
