Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.669,0.47,0.223
birch,Recall,0.0,1.0,0.5,0.544,0.442,0.197
birch,F-Score,0.0,1.0,0.667,0.581,0.439,0.194
iforest,Precision,0.0,1.0,1.0,0.669,0.47,0.223
iforest,Recall,0.0,1.0,0.5,0.544,0.442,0.197
iforest,F-Score,0.0,1.0,0.667,0.581,0.439,0.194
knn,Precision,0.0,1.0,1.0,0.669,0.47,0.223
knn,Recall,0.0,1.0,0.5,0.544,0.442,0.197
knn,F-Score,0.0,1.0,0.667,0.581,0.439,0.194
lstm,Precision,0.0,1.0,1.0,0.669,0.47,0.223
lstm,Recall,0.0,1.0,0.5,0.544,0.442,0.197
lstm,F-Score,0.0,1.0,0.667,0.581,0.439,0.194
svm,Precision,0.0,1.0,1.0,0.669,0.47,0.223
svm,Recall,0.0,1.0,0.5,0.544,0.442,0.197
svm,F-Score,0.0,1.0,0.667,0.581,0.439,0.194
