Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.669,0.47,0.223
birch,Recall,0.0,1.0,0.333,0.43,0.399,0.16
birch,F-Score,0.0,1.0,0.5,0.491,0.401,0.162
iforest,Precision,0.0,1.0,1.0,0.654,0.476,0.228
iforest,Recall,0.0,1.0,0.333,0.417,0.398,0.16
iforest,F-Score,0.0,1.0,0.5,0.478,0.402,0.163
knn,Precision,0.0,1.0,1.0,0.638,0.48,0.233
knn,Recall,0.0,1.0,0.333,0.412,0.401,0.162
knn,F-Score,0.0,1.0,0.5,0.47,0.406,0.166
lstm,Precision,0.0,1.0,1.0,0.646,0.478,0.23
lstm,Recall,0.0,1.0,0.333,0.419,0.403,0.164
lstm,F-Score,0.0,1.0,0.5,0.478,0.406,0.166
svm,Precision,0.0,1.0,1.0,0.654,0.476,0.228
svm,Recall,0.0,1.0,0.333,0.431,0.408,0.168
svm,F-Score,0.0,1.0,0.5,0.488,0.409,0.169
