Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.592,0.475,0.228
birch,Recall,0.0,1.0,1.0,0.599,0.478,0.231
birch,F-Score,0.0,1.0,1.0,0.586,0.467,0.22
iforest,Precision,0.0,1.0,1.0,0.554,0.481,0.234
iforest,Recall,0.0,1.0,1.0,0.56,0.485,0.237
iforest,F-Score,0.0,1.0,0.667,0.547,0.473,0.225
knn,Precision,0.0,1.0,1.0,0.592,0.475,0.228
knn,Recall,0.0,1.0,1.0,0.599,0.478,0.231
knn,F-Score,0.0,1.0,1.0,0.586,0.467,0.22
lstm,Precision,0.0,1.0,1.0,0.585,0.477,0.229
lstm,Recall,0.0,1.0,1.0,0.591,0.48,0.232
lstm,F-Score,0.0,1.0,1.0,0.578,0.469,0.221
svm,Precision,0.0,1.0,1.0,0.592,0.475,0.228
svm,Recall,0.0,1.0,1.0,0.599,0.478,0.231
svm,F-Score,0.0,1.0,1.0,0.586,0.467,0.22
