Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.685,0.465,0.218
birch,Recall,0.0,1.0,0.5,0.511,0.421,0.178
birch,F-Score,0.0,1.0,0.667,0.562,0.419,0.177
iforest,Precision,0.0,1.0,1.0,0.685,0.465,0.218
iforest,Recall,0.0,1.0,0.5,0.511,0.421,0.178
iforest,F-Score,0.0,1.0,0.667,0.562,0.419,0.177
knn,Precision,0.0,1.0,1.0,0.685,0.465,0.218
knn,Recall,0.0,1.0,0.5,0.511,0.421,0.178
knn,F-Score,0.0,1.0,0.667,0.562,0.419,0.177
lstm,Precision,0.0,1.0,1.0,0.685,0.465,0.218
lstm,Recall,0.0,1.0,0.5,0.511,0.421,0.178
lstm,F-Score,0.0,1.0,0.667,0.562,0.419,0.177
svm,Precision,0.0,1.0,1.0,0.685,0.465,0.218
svm,Recall,0.0,1.0,0.5,0.511,0.421,0.178
svm,F-Score,0.0,1.0,0.667,0.562,0.419,0.177
