Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.638,0.48,0.233
birch,Recall,0.0,1.0,0.5,0.512,0.445,0.199
birch,F-Score,0.0,1.0,0.667,0.548,0.444,0.199
iforest,Precision,0.0,1.0,1.0,0.654,0.476,0.228
iforest,Recall,0.0,1.0,0.5,0.527,0.444,0.199
iforest,F-Score,0.0,1.0,0.667,0.564,0.442,0.197
knn,Precision,0.0,1.0,1.0,0.654,0.476,0.228
knn,Recall,0.0,1.0,0.5,0.527,0.444,0.199
knn,F-Score,0.0,1.0,0.667,0.564,0.442,0.197
lstm,Precision,0.0,1.0,1.0,0.646,0.478,0.23
lstm,Recall,0.0,1.0,0.5,0.516,0.443,0.197
lstm,F-Score,0.0,1.0,0.667,0.553,0.442,0.197
svm,Precision,0.0,1.0,1.0,0.654,0.476,0.228
svm,Recall,0.0,1.0,0.5,0.527,0.444,0.199
svm,F-Score,0.0,1.0,0.667,0.564,0.442,0.197
