Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.485,0.5,0.252
birch,Recall,0.0,1.0,0.0,0.477,0.496,0.248
birch,F-Score,0.0,1.0,0.0,0.479,0.496,0.248
iforest,Precision,0.0,1.0,0.0,0.485,0.5,0.252
iforest,Recall,0.0,1.0,0.0,0.477,0.496,0.248
iforest,F-Score,0.0,1.0,0.0,0.479,0.496,0.248
knn,Precision,0.0,1.0,0.0,0.469,0.499,0.251
knn,Recall,0.0,1.0,0.0,0.462,0.495,0.247
knn,F-Score,0.0,1.0,0.0,0.464,0.495,0.247
lstm,Precision,0.0,1.0,0.0,0.485,0.5,0.252
lstm,Recall,0.0,1.0,0.0,0.477,0.496,0.248
lstm,F-Score,0.0,1.0,0.0,0.479,0.496,0.248
svm,Precision,0.0,1.0,0.0,0.485,0.5,0.252
svm,Recall,0.0,1.0,0.0,0.477,0.496,0.248
svm,F-Score,0.0,1.0,0.0,0.479,0.496,0.248
