Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.388,0.477,0.23
birch,Recall,0.0,1.0,0.0,0.374,0.466,0.219
birch,F-Score,0.0,1.0,0.0,0.373,0.459,0.212
iforest,Precision,0.0,1.0,0.0,0.342,0.464,0.217
iforest,Recall,0.0,1.0,0.0,0.344,0.465,0.218
iforest,F-Score,0.0,1.0,0.0,0.337,0.455,0.208
knn,Precision,0.0,1.0,0.0,0.342,0.464,0.217
knn,Recall,0.0,1.0,0.0,0.344,0.465,0.218
knn,F-Score,0.0,1.0,0.0,0.337,0.455,0.208
lstm,Precision,0.0,1.0,0.0,0.381,0.476,0.228
lstm,Recall,0.0,1.0,0.0,0.367,0.464,0.217
lstm,F-Score,0.0,1.0,0.0,0.365,0.456,0.21
svm,Precision,0.0,1.0,0.0,0.35,0.467,0.22
svm,Recall,0.0,1.0,0.0,0.351,0.467,0.22
svm,F-Score,0.0,1.0,0.0,0.345,0.457,0.211
