Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.327,0.459,0.212
birch,Recall,0.0,1.0,0.0,0.301,0.436,0.192
birch,F-Score,0.0,1.0,0.0,0.302,0.428,0.185
iforest,Precision,0.0,1.0,0.0,0.288,0.442,0.197
iforest,Recall,0.0,1.0,0.0,0.281,0.435,0.19
iforest,F-Score,0.0,1.0,0.0,0.277,0.424,0.181
knn,Precision,0.0,1.0,0.0,0.288,0.442,0.197
knn,Recall,0.0,1.0,0.0,0.281,0.435,0.19
knn,F-Score,0.0,1.0,0.0,0.277,0.424,0.181
lstm,Precision,0.0,1.0,0.0,0.319,0.456,0.209
lstm,Recall,0.0,1.0,0.0,0.299,0.437,0.192
lstm,F-Score,0.0,1.0,0.0,0.298,0.429,0.185
svm,Precision,0.0,1.0,0.0,0.296,0.446,0.2
svm,Recall,0.0,1.0,0.0,0.288,0.438,0.194
svm,F-Score,0.0,1.0,0.0,0.284,0.428,0.185
