Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.562,0.496,0.248
birch,Recall,0.0,1.0,0.5,0.497,0.471,0.224
birch,F-Score,0.0,1.0,0.667,0.517,0.472,0.225
iforest,Precision,0.0,1.0,1.0,0.577,0.494,0.246
iforest,Recall,0.0,1.0,0.5,0.513,0.471,0.224
iforest,F-Score,0.0,1.0,0.667,0.532,0.471,0.224
knn,Precision,0.0,1.0,1.0,0.577,0.494,0.246
knn,Recall,0.0,1.0,0.5,0.513,0.471,0.224
knn,F-Score,0.0,1.0,0.667,0.532,0.471,0.224
lstm,Precision,0.0,1.0,1.0,0.562,0.496,0.248
lstm,Recall,0.0,1.0,0.5,0.497,0.471,0.224
lstm,F-Score,0.0,1.0,0.667,0.517,0.472,0.225
svm,Precision,0.0,1.0,1.0,0.577,0.494,0.246
svm,Recall,0.0,1.0,0.5,0.513,0.471,0.224
svm,F-Score,0.0,1.0,0.667,0.532,0.471,0.224
