Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.8,0.4,0.161
birch,Recall,0.0,1.0,1.0,0.781,0.402,0.163
birch,F-Score,0.0,1.0,1.0,0.787,0.399,0.16
iforest,Precision,0.0,1.0,1.0,0.808,0.394,0.157
iforest,Recall,0.0,1.0,1.0,0.788,0.396,0.158
iforest,F-Score,0.0,1.0,1.0,0.795,0.393,0.156
knn,Precision,0.0,1.0,1.0,0.808,0.394,0.157
knn,Recall,0.0,1.0,1.0,0.788,0.396,0.158
knn,F-Score,0.0,1.0,1.0,0.795,0.393,0.156
lstm,Precision,0.0,1.0,1.0,0.8,0.4,0.161
lstm,Recall,0.0,1.0,1.0,0.781,0.402,0.163
lstm,F-Score,0.0,1.0,1.0,0.787,0.399,0.16
svm,Precision,0.0,1.0,1.0,0.808,0.394,0.157
svm,Recall,0.0,1.0,1.0,0.788,0.396,0.158
svm,F-Score,0.0,1.0,1.0,0.795,0.393,0.156
