Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.577,0.494,0.246
birch,Recall,0.0,1.0,0.5,0.493,0.464,0.217
birch,F-Score,0.0,1.0,0.667,0.517,0.464,0.217
iforest,Precision,0.0,1.0,1.0,0.569,0.495,0.247
iforest,Recall,0.0,1.0,0.5,0.489,0.466,0.219
iforest,F-Score,0.0,1.0,0.667,0.512,0.466,0.219
knn,Precision,0.0,1.0,1.0,0.569,0.495,0.247
knn,Recall,0.0,1.0,0.5,0.489,0.466,0.219
knn,F-Score,0.0,1.0,0.667,0.512,0.466,0.219
lstm,Precision,0.0,1.0,1.0,0.577,0.494,0.246
lstm,Recall,0.0,1.0,0.5,0.493,0.464,0.217
lstm,F-Score,0.0,1.0,0.667,0.517,0.464,0.217
svm,Precision,0.0,1.0,1.0,0.577,0.494,0.246
svm,Recall,0.0,1.0,0.5,0.501,0.468,0.221
svm,F-Score,0.0,1.0,0.667,0.522,0.468,0.221
