Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.492,0.5,0.252
birch,Recall,0.0,1.0,0.0,0.469,0.487,0.239
birch,F-Score,0.0,1.0,0.0,0.477,0.489,0.241
iforest,Precision,0.0,1.0,0.0,0.492,0.5,0.252
iforest,Recall,0.0,1.0,0.0,0.469,0.487,0.239
iforest,F-Score,0.0,1.0,0.0,0.477,0.489,0.241
knn,Precision,0.0,1.0,0.0,0.462,0.499,0.25
knn,Recall,0.0,1.0,0.0,0.438,0.484,0.236
knn,F-Score,0.0,1.0,0.0,0.446,0.487,0.239
lstm,Precision,0.0,1.0,0.0,0.492,0.5,0.252
lstm,Recall,0.0,1.0,0.0,0.469,0.487,0.239
lstm,F-Score,0.0,1.0,0.0,0.477,0.489,0.241
svm,Precision,0.0,1.0,0.0,0.492,0.5,0.252
svm,Recall,0.0,1.0,0.0,0.469,0.487,0.239
svm,F-Score,0.0,1.0,0.0,0.477,0.489,0.241
