Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.715,0.451,0.205
birch,Recall,0.0,1.0,1.0,0.642,0.442,0.197
birch,F-Score,0.0,1.0,1.0,0.665,0.437,0.193
iforest,Precision,0.0,1.0,1.0,0.715,0.451,0.205
iforest,Recall,0.0,1.0,1.0,0.642,0.442,0.197
iforest,F-Score,0.0,1.0,1.0,0.665,0.437,0.193
knn,Precision,0.0,1.0,1.0,0.708,0.455,0.208
knn,Recall,0.0,1.0,1.0,0.635,0.445,0.199
knn,F-Score,0.0,1.0,1.0,0.658,0.44,0.195
lstm,Precision,0.0,1.0,1.0,0.715,0.451,0.205
lstm,Recall,0.0,1.0,1.0,0.642,0.442,0.197
lstm,F-Score,0.0,1.0,1.0,0.665,0.437,0.193
svm,Precision,0.0,1.0,1.0,0.708,0.455,0.208
svm,Recall,0.0,1.0,1.0,0.635,0.445,0.199
svm,F-Score,0.0,1.0,1.0,0.658,0.44,0.195
