Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.742,0.435,0.191
birch,Recall,0.0,1.0,0.333,0.433,0.398,0.16
birch,F-Score,0.0,1.0,0.5,0.498,0.388,0.152
iforest,Precision,0.0,1.0,1.0,0.738,0.439,0.195
iforest,Recall,0.0,1.0,0.31,0.431,0.397,0.159
iforest,F-Score,0.0,1.0,0.473,0.497,0.389,0.153
knn,Precision,0.0,1.0,1.0,0.746,0.435,0.191
knn,Recall,0.0,1.0,0.333,0.447,0.398,0.159
knn,F-Score,0.0,1.0,0.5,0.512,0.39,0.153
lstm,Precision,0.0,1.0,1.0,0.715,0.443,0.198
lstm,Recall,0.0,1.0,0.333,0.432,0.401,0.162
lstm,F-Score,0.0,1.0,0.4,0.491,0.393,0.156
svm,Precision,0.0,1.0,1.0,0.738,0.439,0.195
svm,Recall,0.0,1.0,0.292,0.43,0.398,0.159
svm,F-Score,0.0,1.0,0.45,0.495,0.39,0.153
