Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.554,0.497,0.249
birch,Recall,0.0,1.0,1.0,0.554,0.497,0.249
birch,F-Score,0.0,1.0,1.0,0.554,0.497,0.249
iforest,Precision,0.0,1.0,1.0,0.554,0.497,0.249
iforest,Recall,0.0,1.0,1.0,0.554,0.497,0.249
iforest,F-Score,0.0,1.0,1.0,0.554,0.497,0.249
knn,Precision,0.0,1.0,1.0,0.546,0.498,0.25
knn,Recall,0.0,1.0,1.0,0.546,0.498,0.25
knn,F-Score,0.0,1.0,1.0,0.546,0.498,0.25
lstm,Precision,0.0,1.0,1.0,0.554,0.497,0.249
lstm,Recall,0.0,1.0,1.0,0.554,0.497,0.249
lstm,F-Score,0.0,1.0,1.0,0.554,0.497,0.249
svm,Precision,0.0,1.0,1.0,0.554,0.497,0.249
svm,Recall,0.0,1.0,1.0,0.554,0.497,0.249
svm,F-Score,0.0,1.0,1.0,0.554,0.497,0.249
