Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.523,0.499,0.251
birch,Recall,0.0,1.0,0.5,0.468,0.471,0.224
birch,F-Score,0.0,1.0,0.667,0.486,0.475,0.227
iforest,Precision,0.0,1.0,1.0,0.523,0.499,0.251
iforest,Recall,0.0,1.0,0.5,0.472,0.474,0.226
iforest,F-Score,0.0,1.0,0.667,0.488,0.477,0.229
knn,Precision,0.0,1.0,1.0,0.523,0.499,0.251
knn,Recall,0.0,1.0,0.5,0.472,0.474,0.226
knn,F-Score,0.0,1.0,0.667,0.488,0.477,0.229
lstm,Precision,0.0,1.0,1.0,0.508,0.5,0.252
lstm,Recall,0.0,1.0,0.416,0.46,0.475,0.227
lstm,F-Score,0.0,1.0,0.584,0.476,0.478,0.23
svm,Precision,0.0,1.0,1.0,0.523,0.499,0.251
svm,Recall,0.0,1.0,0.5,0.483,0.48,0.232
svm,F-Score,0.0,1.0,0.667,0.496,0.482,0.234
