Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.538,0.499,0.269
birch,Recall,0.0,1.0,1.0,0.538,0.499,0.269
birch,F-Score,0.0,1.0,1.0,0.538,0.499,0.269
iforest,Precision,0.0,1.0,1.0,0.538,0.499,0.269
iforest,Recall,0.0,1.0,1.0,0.538,0.499,0.269
iforest,F-Score,0.0,1.0,1.0,0.538,0.499,0.269
knn,Precision,0.0,1.0,1.0,0.538,0.499,0.269
knn,Recall,0.0,1.0,1.0,0.538,0.499,0.269
knn,F-Score,0.0,1.0,1.0,0.538,0.499,0.269
lstm,Precision,0.0,1.0,1.0,0.538,0.499,0.269
lstm,Recall,0.0,1.0,1.0,0.538,0.499,0.269
lstm,F-Score,0.0,1.0,1.0,0.538,0.499,0.269
svm,Precision,0.0,1.0,1.0,0.538,0.499,0.269
svm,Recall,0.0,1.0,1.0,0.538,0.499,0.269
svm,F-Score,0.0,1.0,1.0,0.538,0.499,0.269
