Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.7,0.458,0.212
birch,Recall,0.0,1.0,0.333,0.444,0.399,0.161
birch,F-Score,0.0,1.0,0.5,0.507,0.397,0.159
iforest,Precision,0.0,1.0,1.0,0.7,0.458,0.212
iforest,Recall,0.0,1.0,0.333,0.444,0.399,0.161
iforest,F-Score,0.0,1.0,0.5,0.507,0.397,0.159
knn,Precision,0.0,1.0,1.0,0.7,0.458,0.212
knn,Recall,0.0,1.0,0.333,0.448,0.402,0.163
knn,F-Score,0.0,1.0,0.5,0.51,0.399,0.161
lstm,Precision,0.0,1.0,1.0,0.696,0.458,0.211
lstm,Recall,0.0,1.0,0.333,0.448,0.402,0.163
lstm,F-Score,0.0,1.0,0.5,0.509,0.399,0.16
svm,Precision,0.0,1.0,1.0,0.7,0.458,0.212
svm,Recall,0.0,1.0,0.333,0.448,0.402,0.163
svm,F-Score,0.0,1.0,0.5,0.51,0.399,0.161
