Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.823,0.382,0.147
birch,Recall,0.0,1.0,1.0,0.804,0.385,0.149
birch,F-Score,0.0,1.0,1.0,0.81,0.381,0.146
iforest,Precision,0.0,1.0,1.0,0.823,0.382,0.147
iforest,Recall,0.0,1.0,1.0,0.804,0.385,0.149
iforest,F-Score,0.0,1.0,1.0,0.81,0.381,0.146
knn,Precision,0.0,1.0,1.0,0.831,0.375,0.142
knn,Recall,0.0,1.0,1.0,0.812,0.379,0.144
knn,F-Score,0.0,1.0,1.0,0.818,0.375,0.141
lstm,Precision,0.0,1.0,1.0,0.831,0.375,0.142
lstm,Recall,0.0,1.0,1.0,0.812,0.379,0.144
lstm,F-Score,0.0,1.0,1.0,0.818,0.375,0.141
svm,Precision,0.0,1.0,1.0,0.831,0.375,0.142
svm,Recall,0.0,1.0,1.0,0.812,0.379,0.144
svm,F-Score,0.0,1.0,1.0,0.818,0.375,0.141
