Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.538,0.499,0.25
birch,Recall,0.0,1.0,0.333,0.406,0.429,0.185
birch,F-Score,0.0,1.0,0.5,0.446,0.438,0.193
iforest,Precision,0.0,1.0,1.0,0.523,0.499,0.251
iforest,Recall,0.0,1.0,0.333,0.399,0.431,0.188
iforest,F-Score,0.0,1.0,0.5,0.436,0.441,0.196
knn,Precision,0.0,1.0,1.0,0.508,0.5,0.252
knn,Recall,0.0,1.0,0.333,0.388,0.431,0.187
knn,F-Score,0.0,1.0,0.5,0.424,0.441,0.196
lstm,Precision,0.0,1.0,1.0,0.515,0.5,0.252
lstm,Recall,0.0,1.0,0.333,0.395,0.433,0.189
lstm,F-Score,0.0,1.0,0.5,0.431,0.442,0.197
svm,Precision,0.0,1.0,1.0,0.538,0.499,0.25
svm,Recall,0.0,1.0,0.333,0.414,0.435,0.19
svm,F-Score,0.0,1.0,0.5,0.451,0.443,0.197
