Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.823,0.382,0.147
birch,Recall,0.0,1.0,1.0,0.808,0.384,0.149
birch,F-Score,0.0,1.0,1.0,0.813,0.381,0.146
iforest,Precision,0.0,1.0,1.0,0.831,0.375,0.142
iforest,Recall,0.0,1.0,1.0,0.815,0.378,0.144
iforest,F-Score,0.0,1.0,1.0,0.821,0.375,0.142
knn,Precision,0.0,1.0,1.0,0.831,0.375,0.142
knn,Recall,0.0,1.0,1.0,0.815,0.378,0.144
knn,F-Score,0.0,1.0,1.0,0.821,0.375,0.142
lstm,Precision,0.0,1.0,1.0,0.815,0.388,0.152
lstm,Recall,0.0,1.0,1.0,0.8,0.39,0.153
lstm,F-Score,0.0,1.0,1.0,0.805,0.387,0.151
svm,Precision,0.0,1.0,1.0,0.831,0.375,0.142
svm,Recall,0.0,1.0,1.0,0.815,0.378,0.144
svm,F-Score,0.0,1.0,1.0,0.821,0.375,0.142
