Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.74,0.435,0.19
birch,Recall,0.0,1.0,0.45,0.471,0.392,0.155
birch,F-Score,0.0,1.0,0.536,0.538,0.385,0.149
iforest,Precision,0.0,1.0,1.0,0.746,0.435,0.191
iforest,Recall,0.0,1.0,0.367,0.473,0.395,0.158
iforest,F-Score,0.0,1.0,0.536,0.54,0.387,0.151
knn,Precision,0.0,1.0,1.0,0.746,0.435,0.191
knn,Recall,0.0,1.0,0.45,0.475,0.396,0.158
knn,F-Score,0.0,1.0,0.619,0.542,0.388,0.151
lstm,Precision,0.0,1.0,1.0,0.733,0.436,0.191
lstm,Recall,0.0,1.0,0.367,0.476,0.398,0.16
lstm,F-Score,0.0,1.0,0.5,0.54,0.389,0.153
svm,Precision,0.0,1.0,1.0,0.746,0.435,0.191
svm,Recall,0.0,1.0,0.367,0.476,0.398,0.16
svm,F-Score,0.0,1.0,0.536,0.543,0.389,0.152
