Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.623,0.485,0.237
birch,Recall,0.0,1.0,1.0,0.568,0.47,0.223
birch,F-Score,0.0,1.0,1.0,0.585,0.469,0.221
iforest,Precision,0.0,1.0,1.0,0.654,0.476,0.228
iforest,Recall,0.0,1.0,1.0,0.603,0.466,0.219
iforest,F-Score,0.0,1.0,1.0,0.618,0.463,0.216
knn,Precision,0.0,1.0,1.0,0.654,0.476,0.228
knn,Recall,0.0,1.0,1.0,0.603,0.466,0.219
knn,F-Score,0.0,1.0,1.0,0.618,0.463,0.216
lstm,Precision,0.0,1.0,1.0,0.654,0.476,0.228
lstm,Recall,0.0,1.0,1.0,0.599,0.465,0.218
lstm,F-Score,0.0,1.0,1.0,0.615,0.462,0.215
svm,Precision,0.0,1.0,1.0,0.654,0.476,0.228
svm,Recall,0.0,1.0,1.0,0.603,0.466,0.219
svm,F-Score,0.0,1.0,1.0,0.618,0.463,0.216
