Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.592,0.491,0.243
birch,Recall,0.0,1.0,0.5,0.458,0.438,0.194
birch,F-Score,0.0,1.0,0.667,0.497,0.442,0.197
iforest,Precision,0.0,1.0,1.0,0.585,0.493,0.245
iforest,Recall,0.0,1.0,0.416,0.45,0.438,0.193
iforest,F-Score,0.0,1.0,0.584,0.489,0.442,0.197
knn,Precision,0.0,1.0,1.0,0.562,0.496,0.248
knn,Recall,0.0,1.0,0.333,0.431,0.437,0.193
knn,F-Score,0.0,1.0,0.5,0.469,0.443,0.198
lstm,Precision,0.0,1.0,1.0,0.585,0.493,0.245
lstm,Recall,0.0,1.0,0.416,0.45,0.438,0.193
lstm,F-Score,0.0,1.0,0.584,0.489,0.442,0.197
svm,Precision,0.0,1.0,1.0,0.592,0.491,0.243
svm,Recall,0.0,1.0,0.5,0.462,0.441,0.196
svm,F-Score,0.0,1.0,0.667,0.499,0.444,0.199
