Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.685,0.465,0.218
birch,Recall,0.0,1.0,0.5,0.557,0.437,0.193
birch,F-Score,0.0,1.0,0.667,0.595,0.433,0.189
iforest,Precision,0.0,1.0,1.0,0.708,0.455,0.208
iforest,Recall,0.0,1.0,0.5,0.58,0.434,0.19
iforest,F-Score,0.0,1.0,0.667,0.619,0.428,0.184
knn,Precision,0.0,1.0,1.0,0.7,0.458,0.212
knn,Recall,0.0,1.0,0.5,0.572,0.435,0.191
knn,F-Score,0.0,1.0,0.667,0.611,0.43,0.186
lstm,Precision,0.0,1.0,1.0,0.692,0.462,0.215
lstm,Recall,0.0,1.0,0.5,0.565,0.436,0.192
lstm,F-Score,0.0,1.0,0.667,0.603,0.432,0.188
svm,Precision,0.0,1.0,1.0,0.708,0.455,0.208
svm,Recall,0.0,1.0,0.5,0.58,0.434,0.19
svm,F-Score,0.0,1.0,0.667,0.619,0.428,0.184
