Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.7,0.458,0.212
birch,Recall,0.0,1.0,0.5,0.551,0.441,0.196
birch,F-Score,0.0,1.0,0.667,0.589,0.432,0.188
iforest,Precision,0.0,1.0,1.0,0.669,0.47,0.223
iforest,Recall,0.0,1.0,0.5,0.539,0.449,0.203
iforest,F-Score,0.0,1.0,0.667,0.572,0.443,0.197
knn,Precision,0.0,1.0,1.0,0.662,0.473,0.226
knn,Recall,0.0,1.0,0.5,0.541,0.452,0.206
knn,F-Score,0.0,1.0,0.667,0.572,0.446,0.201
lstm,Precision,0.0,1.0,1.0,0.681,0.464,0.217
lstm,Recall,0.0,1.0,0.5,0.548,0.445,0.2
lstm,F-Score,0.0,1.0,0.667,0.581,0.436,0.192
svm,Precision,0.0,1.0,1.0,0.677,0.468,0.22
svm,Recall,0.0,1.0,0.5,0.546,0.448,0.202
svm,F-Score,0.0,1.0,0.667,0.58,0.441,0.196
