Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.808,0.389,0.153
birch,Recall,0.0,1.0,0.5,0.577,0.397,0.159
birch,F-Score,0.0,1.0,0.667,0.633,0.373,0.14
iforest,Precision,0.0,1.0,1.0,0.815,0.388,0.152
iforest,Recall,0.0,1.0,0.5,0.585,0.4,0.161
iforest,F-Score,0.0,1.0,0.667,0.645,0.378,0.144
knn,Precision,0.0,1.0,1.0,0.815,0.388,0.152
knn,Recall,0.0,1.0,0.5,0.582,0.398,0.16
knn,F-Score,0.0,1.0,0.667,0.642,0.377,0.143
lstm,Precision,0.0,1.0,1.0,0.808,0.389,0.153
lstm,Recall,0.0,1.0,0.5,0.573,0.396,0.158
lstm,F-Score,0.0,1.0,0.667,0.631,0.372,0.139
svm,Precision,0.0,1.0,1.0,0.815,0.388,0.152
svm,Recall,0.0,1.0,0.5,0.583,0.398,0.16
svm,F-Score,0.0,1.0,0.667,0.643,0.377,0.144
