Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.762,0.426,0.183
birch,Recall,0.0,1.0,0.333,0.49,0.403,0.164
birch,F-Score,0.0,1.0,0.5,0.554,0.39,0.153
iforest,Precision,0.0,1.0,1.0,0.762,0.426,0.183
iforest,Recall,0.0,1.0,0.416,0.509,0.412,0.171
iforest,F-Score,0.0,1.0,0.584,0.568,0.398,0.16
knn,Precision,0.0,1.0,1.0,0.762,0.426,0.183
knn,Recall,0.0,1.0,0.416,0.509,0.412,0.171
knn,F-Score,0.0,1.0,0.584,0.568,0.398,0.16
lstm,Precision,0.0,1.0,1.0,0.759,0.426,0.183
lstm,Recall,0.0,1.0,0.5,0.5,0.404,0.165
lstm,F-Score,0.0,1.0,0.619,0.562,0.392,0.155
svm,Precision,0.0,1.0,1.0,0.762,0.426,0.183
svm,Recall,0.0,1.0,0.416,0.505,0.41,0.169
svm,F-Score,0.0,1.0,0.584,0.565,0.396,0.158
