Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.4,0.49,0.242
birch,Recall,0.0,1.0,0.0,0.358,0.46,0.213
birch,F-Score,0.0,1.0,0.0,0.371,0.464,0.217
iforest,Precision,0.0,1.0,0.0,0.354,0.478,0.23
iforest,Recall,0.0,1.0,0.0,0.332,0.459,0.212
iforest,F-Score,0.0,1.0,0.0,0.34,0.463,0.216
knn,Precision,0.0,1.0,0.0,0.338,0.473,0.226
knn,Recall,0.0,1.0,0.0,0.323,0.459,0.213
knn,F-Score,0.0,1.0,0.0,0.328,0.462,0.215
lstm,Precision,0.0,1.0,0.0,0.392,0.488,0.24
lstm,Recall,0.0,1.0,0.0,0.355,0.461,0.214
lstm,F-Score,0.0,1.0,0.0,0.367,0.465,0.218
svm,Precision,0.0,1.0,0.0,0.362,0.48,0.233
svm,Recall,0.0,1.0,0.0,0.337,0.461,0.214
svm,F-Score,0.0,1.0,0.0,0.345,0.464,0.217
