Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.828,0.361,0.131
birch,Recall,0.0,1.0,0.708,0.66,0.373,0.14
birch,F-Score,0.0,1.0,0.8,0.707,0.346,0.121
iforest,Precision,0.0,1.0,1.0,0.828,0.361,0.131
iforest,Recall,0.0,1.0,0.75,0.663,0.374,0.141
iforest,F-Score,0.0,1.0,0.8,0.709,0.347,0.121
knn,Precision,0.0,1.0,1.0,0.828,0.361,0.131
knn,Recall,0.0,1.0,0.875,0.667,0.374,0.141
knn,F-Score,0.0,1.0,0.8,0.712,0.348,0.122
lstm,Precision,0.0,1.0,1.0,0.828,0.361,0.131
lstm,Recall,0.0,1.0,0.708,0.66,0.373,0.14
lstm,F-Score,0.0,1.0,0.8,0.707,0.346,0.121
svm,Precision,0.0,1.0,1.0,0.828,0.361,0.131
svm,Recall,0.0,1.0,0.75,0.663,0.374,0.141
svm,F-Score,0.0,1.0,0.8,0.709,0.347,0.121
