Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.731,0.444,0.198
birch,Recall,0.0,1.0,0.5,0.589,0.426,0.183
birch,F-Score,0.0,1.0,0.667,0.631,0.418,0.176
iforest,Precision,0.0,1.0,1.0,0.731,0.444,0.198
iforest,Recall,0.0,1.0,0.5,0.589,0.426,0.183
iforest,F-Score,0.0,1.0,0.667,0.631,0.418,0.176
knn,Precision,0.0,1.0,1.0,0.731,0.444,0.198
knn,Recall,0.0,1.0,0.5,0.589,0.426,0.183
knn,F-Score,0.0,1.0,0.667,0.631,0.418,0.176
lstm,Precision,0.0,1.0,1.0,0.731,0.444,0.198
lstm,Recall,0.0,1.0,0.5,0.589,0.426,0.183
lstm,F-Score,0.0,1.0,0.667,0.631,0.418,0.176
svm,Precision,0.0,1.0,1.0,0.731,0.444,0.198
svm,Recall,0.0,1.0,0.5,0.593,0.428,0.184
svm,F-Score,0.0,1.0,0.667,0.634,0.419,0.177
