Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.677,0.468,0.22
birch,Recall,0.0,1.0,0.5,0.576,0.447,0.201
birch,F-Score,0.0,1.0,0.667,0.606,0.443,0.198
iforest,Precision,0.0,1.0,1.0,0.692,0.462,0.215
iforest,Recall,0.0,1.0,1.0,0.591,0.444,0.199
iforest,F-Score,0.0,1.0,1.0,0.622,0.439,0.194
knn,Precision,0.0,1.0,1.0,0.685,0.465,0.218
knn,Recall,0.0,1.0,0.75,0.583,0.445,0.2
knn,F-Score,0.0,1.0,0.834,0.614,0.441,0.196
lstm,Precision,0.0,1.0,1.0,0.685,0.465,0.218
lstm,Recall,0.0,1.0,0.5,0.579,0.444,0.199
lstm,F-Score,0.0,1.0,0.667,0.612,0.44,0.195
svm,Precision,0.0,1.0,1.0,0.685,0.465,0.218
svm,Recall,0.0,1.0,1.0,0.587,0.447,0.201
svm,F-Score,0.0,1.0,1.0,0.617,0.442,0.197
