Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.762,0.426,0.183
birch,Recall,0.0,1.0,0.5,0.537,0.397,0.159
birch,F-Score,0.0,1.0,0.667,0.6,0.389,0.152
iforest,Precision,0.0,1.0,1.0,0.769,0.421,0.179
iforest,Recall,0.0,1.0,0.5,0.556,0.402,0.163
iforest,F-Score,0.0,1.0,0.667,0.615,0.391,0.154
knn,Precision,0.0,1.0,1.0,0.762,0.426,0.183
knn,Recall,0.0,1.0,0.5,0.548,0.403,0.164
knn,F-Score,0.0,1.0,0.667,0.608,0.393,0.156
lstm,Precision,0.0,1.0,1.0,0.762,0.426,0.183
lstm,Recall,0.0,1.0,0.5,0.537,0.397,0.159
lstm,F-Score,0.0,1.0,0.667,0.6,0.389,0.152
svm,Precision,0.0,1.0,1.0,0.769,0.421,0.179
svm,Recall,0.0,1.0,0.5,0.556,0.402,0.163
svm,F-Score,0.0,1.0,0.667,0.615,0.391,0.154
