Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.562,0.496,0.248
birch,Recall,0.0,1.0,0.5,0.515,0.479,0.231
birch,F-Score,0.0,1.0,0.667,0.53,0.479,0.231
iforest,Precision,0.0,1.0,1.0,0.585,0.493,0.245
iforest,Recall,0.0,1.0,0.75,0.538,0.478,0.23
iforest,F-Score,0.0,1.0,0.834,0.553,0.477,0.23
knn,Precision,0.0,1.0,1.0,0.585,0.493,0.245
knn,Recall,0.0,1.0,0.75,0.538,0.478,0.23
knn,F-Score,0.0,1.0,0.834,0.553,0.477,0.23
lstm,Precision,0.0,1.0,1.0,0.562,0.496,0.248
lstm,Recall,0.0,1.0,0.5,0.515,0.479,0.231
lstm,F-Score,0.0,1.0,0.667,0.53,0.479,0.231
svm,Precision,0.0,1.0,1.0,0.585,0.493,0.245
svm,Recall,0.0,1.0,0.75,0.538,0.478,0.23
svm,F-Score,0.0,1.0,0.834,0.553,0.477,0.23
