Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.6,0.482,0.234
birch,Recall,0.0,1.0,0.5,0.508,0.456,0.209
birch,F-Score,0.0,1.0,0.667,0.531,0.453,0.206
iforest,Precision,0.0,1.0,1.0,0.623,0.485,0.237
iforest,Recall,0.0,1.0,0.5,0.512,0.453,0.207
iforest,F-Score,0.0,1.0,0.667,0.543,0.452,0.206
knn,Precision,0.0,1.0,1.0,0.623,0.485,0.237
knn,Recall,0.0,1.0,0.5,0.512,0.453,0.207
knn,F-Score,0.0,1.0,0.667,0.543,0.452,0.206
lstm,Precision,0.0,1.0,1.0,0.6,0.482,0.234
lstm,Recall,0.0,1.0,0.5,0.508,0.456,0.209
lstm,F-Score,0.0,1.0,0.667,0.531,0.453,0.206
svm,Precision,0.0,1.0,1.0,0.623,0.485,0.237
svm,Recall,0.0,1.0,0.5,0.512,0.453,0.207
svm,F-Score,0.0,1.0,0.667,0.543,0.452,0.206
