Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.728,0.443,0.198
birch,Recall,0.0,1.0,0.5,0.517,0.434,0.19
birch,F-Score,0.0,1.0,0.667,0.561,0.42,0.178
iforest,Precision,0.0,1.0,1.0,0.69,0.461,0.214
iforest,Recall,0.0,1.0,0.5,0.508,0.439,0.194
iforest,F-Score,0.0,1.0,0.667,0.548,0.429,0.186
knn,Precision,0.0,1.0,1.0,0.696,0.457,0.21
knn,Recall,0.0,1.0,0.5,0.51,0.437,0.192
knn,F-Score,0.0,1.0,0.667,0.552,0.426,0.183
lstm,Precision,0.0,1.0,1.0,0.709,0.45,0.204
lstm,Recall,0.0,1.0,0.5,0.515,0.437,0.192
lstm,F-Score,0.0,1.0,0.667,0.555,0.422,0.18
svm,Precision,0.0,1.0,1.0,0.705,0.454,0.208
svm,Recall,0.0,1.0,0.5,0.516,0.438,0.193
svm,F-Score,0.0,1.0,0.667,0.557,0.427,0.184
