Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.538,0.499,0.269
birch,Recall,0.0,1.0,0.333,0.449,0.459,0.229
birch,F-Score,0.0,1.0,0.5,0.474,0.462,0.231
iforest,Precision,0.0,1.0,0.0,0.462,0.499,0.269
iforest,Recall,0.0,1.0,0.0,0.372,0.444,0.214
iforest,F-Score,0.0,1.0,0.0,0.397,0.451,0.22
knn,Precision,0.0,1.0,0.0,0.462,0.499,0.269
knn,Recall,0.0,1.0,0.0,0.372,0.444,0.214
knn,F-Score,0.0,1.0,0.0,0.397,0.451,0.22
lstm,Precision,0.0,1.0,1.0,0.538,0.499,0.269
lstm,Recall,0.0,1.0,0.333,0.449,0.459,0.229
lstm,F-Score,0.0,1.0,0.5,0.474,0.462,0.231
svm,Precision,0.0,1.0,1.0,0.538,0.499,0.269
svm,Recall,0.0,1.0,0.333,0.449,0.459,0.229
svm,F-Score,0.0,1.0,0.5,0.474,0.462,0.231
