Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.84,0.362,0.132
birch,Recall,0.0,1.0,1.0,0.722,0.377,0.143
birch,F-Score,0.0,1.0,1.0,0.758,0.358,0.129
iforest,Precision,0.0,1.0,1.0,0.844,0.361,0.131
iforest,Recall,0.0,1.0,1.0,0.718,0.377,0.143
iforest,F-Score,0.0,1.0,1.0,0.757,0.357,0.128
knn,Precision,0.0,1.0,1.0,0.821,0.382,0.147
knn,Recall,0.0,1.0,1.0,0.702,0.39,0.153
knn,F-Score,0.0,1.0,1.0,0.739,0.374,0.141
lstm,Precision,0.0,1.0,1.0,0.84,0.362,0.132
lstm,Recall,0.0,1.0,1.0,0.718,0.377,0.143
lstm,F-Score,0.0,1.0,1.0,0.756,0.358,0.129
svm,Precision,0.0,1.0,1.0,0.844,0.361,0.131
svm,Recall,0.0,1.0,1.0,0.722,0.377,0.143
svm,F-Score,0.0,1.0,1.0,0.76,0.358,0.129
