Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.877,0.329,0.109
birch,Recall,0.0,1.0,1.0,0.792,0.352,0.125
birch,F-Score,0.0,1.0,1.0,0.819,0.334,0.112
iforest,Precision,0.0,1.0,1.0,0.877,0.329,0.109
iforest,Recall,0.0,1.0,1.0,0.792,0.352,0.125
iforest,F-Score,0.0,1.0,1.0,0.819,0.334,0.112
knn,Precision,0.0,1.0,1.0,0.877,0.329,0.109
knn,Recall,0.0,1.0,1.0,0.792,0.352,0.125
knn,F-Score,0.0,1.0,1.0,0.819,0.334,0.112
lstm,Precision,0.0,1.0,1.0,0.877,0.329,0.109
lstm,Recall,0.0,1.0,1.0,0.788,0.353,0.125
lstm,F-Score,0.0,1.0,1.0,0.816,0.334,0.112
svm,Precision,0.0,1.0,1.0,0.877,0.329,0.109
svm,Recall,0.0,1.0,1.0,0.792,0.352,0.125
svm,F-Score,0.0,1.0,1.0,0.819,0.334,0.112
