Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.665,0.47,0.222
birch,Recall,0.0,1.0,0.333,0.462,0.439,0.194
birch,F-Score,0.0,1.0,0.5,0.503,0.433,0.189
iforest,Precision,0.0,1.0,1.0,0.631,0.483,0.235
iforest,Recall,0.0,1.0,0.354,0.458,0.444,0.198
iforest,F-Score,0.0,1.0,0.522,0.496,0.441,0.196
knn,Precision,0.0,1.0,1.0,0.627,0.481,0.233
knn,Recall,0.0,1.0,0.388,0.464,0.444,0.199
knn,F-Score,0.0,1.0,0.558,0.499,0.442,0.196
lstm,Precision,0.0,1.0,1.0,0.662,0.473,0.226
lstm,Recall,0.0,1.0,0.333,0.462,0.44,0.195
lstm,F-Score,0.0,1.0,0.5,0.503,0.434,0.19
svm,Precision,0.0,1.0,1.0,0.654,0.476,0.228
svm,Recall,0.0,1.0,0.354,0.464,0.44,0.195
svm,F-Score,0.0,1.0,0.522,0.505,0.435,0.191
