Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.592,0.491,0.243
birch,Recall,0.0,1.0,0.5,0.541,0.473,0.225
birch,F-Score,0.0,1.0,0.667,0.558,0.474,0.226
iforest,Precision,0.0,1.0,1.0,0.592,0.491,0.243
iforest,Recall,0.0,1.0,0.5,0.541,0.473,0.225
iforest,F-Score,0.0,1.0,0.667,0.558,0.474,0.226
knn,Precision,0.0,1.0,1.0,0.592,0.491,0.243
knn,Recall,0.0,1.0,0.5,0.541,0.473,0.225
knn,F-Score,0.0,1.0,0.667,0.558,0.474,0.226
lstm,Precision,0.0,1.0,1.0,0.592,0.491,0.243
lstm,Recall,0.0,1.0,0.5,0.541,0.473,0.225
lstm,F-Score,0.0,1.0,0.667,0.558,0.474,0.226
svm,Precision,0.0,1.0,1.0,0.592,0.491,0.243
svm,Recall,0.0,1.0,0.5,0.541,0.473,0.225
svm,F-Score,0.0,1.0,0.667,0.558,0.474,0.226
