Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.515,0.5,0.252
birch,Recall,0.0,1.0,0.5,0.499,0.492,0.244
birch,F-Score,0.0,1.0,0.667,0.504,0.493,0.245
iforest,Precision,0.0,1.0,1.0,0.515,0.5,0.252
iforest,Recall,0.0,1.0,0.5,0.499,0.492,0.244
iforest,F-Score,0.0,1.0,0.667,0.504,0.493,0.245
knn,Precision,0.0,1.0,1.0,0.508,0.5,0.252
knn,Recall,0.0,1.0,0.416,0.491,0.492,0.244
knn,F-Score,0.0,1.0,0.584,0.496,0.493,0.245
lstm,Precision,0.0,1.0,1.0,0.515,0.5,0.252
lstm,Recall,0.0,1.0,0.5,0.499,0.492,0.244
lstm,F-Score,0.0,1.0,0.667,0.504,0.493,0.245
svm,Precision,0.0,1.0,1.0,0.515,0.5,0.252
svm,Recall,0.0,1.0,0.5,0.499,0.492,0.244
svm,F-Score,0.0,1.0,0.667,0.504,0.493,0.245
