Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.604,0.483,0.235
birch,Recall,0.0,1.0,0.333,0.455,0.44,0.195
birch,F-Score,0.0,1.0,0.5,0.49,0.437,0.192
iforest,Precision,0.0,1.0,1.0,0.631,0.483,0.235
iforest,Recall,0.0,1.0,0.333,0.465,0.439,0.194
iforest,F-Score,0.0,1.0,0.5,0.506,0.437,0.192
knn,Precision,0.0,1.0,1.0,0.631,0.483,0.235
knn,Recall,0.0,1.0,0.333,0.465,0.439,0.194
knn,F-Score,0.0,1.0,0.5,0.506,0.437,0.192
lstm,Precision,0.0,1.0,1.0,0.608,0.48,0.232
lstm,Recall,0.0,1.0,0.333,0.458,0.438,0.194
lstm,F-Score,0.0,1.0,0.5,0.493,0.435,0.19
svm,Precision,0.0,1.0,1.0,0.631,0.483,0.235
svm,Recall,0.0,1.0,0.333,0.465,0.439,0.194
svm,F-Score,0.0,1.0,0.5,0.506,0.437,0.192
