Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.562,0.496,0.248
birch,Recall,0.0,1.0,0.5,0.495,0.469,0.222
birch,F-Score,0.0,1.0,0.667,0.515,0.471,0.223
iforest,Precision,0.0,1.0,1.0,0.554,0.497,0.249
iforest,Recall,0.0,1.0,0.5,0.487,0.469,0.222
iforest,F-Score,0.0,1.0,0.667,0.508,0.471,0.223
knn,Precision,0.0,1.0,1.0,0.554,0.497,0.249
knn,Recall,0.0,1.0,0.5,0.487,0.469,0.222
knn,F-Score,0.0,1.0,0.667,0.508,0.471,0.223
lstm,Precision,0.0,1.0,1.0,0.562,0.496,0.248
lstm,Recall,0.0,1.0,0.5,0.495,0.469,0.222
lstm,F-Score,0.0,1.0,0.667,0.515,0.471,0.223
svm,Precision,0.0,1.0,1.0,0.562,0.496,0.248
svm,Recall,0.0,1.0,0.5,0.495,0.469,0.222
svm,F-Score,0.0,1.0,0.667,0.515,0.471,0.223
