Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.673,0.463,0.216
birch,Recall,0.0,1.0,0.333,0.454,0.424,0.181
birch,F-Score,0.0,1.0,0.5,0.499,0.414,0.172
iforest,Precision,0.0,1.0,1.0,0.677,0.464,0.217
iforest,Recall,0.0,1.0,0.333,0.466,0.429,0.185
iforest,F-Score,0.0,1.0,0.5,0.509,0.418,0.176
knn,Precision,0.0,1.0,1.0,0.677,0.464,0.217
knn,Recall,0.0,1.0,0.333,0.464,0.429,0.186
knn,F-Score,0.0,1.0,0.5,0.507,0.418,0.176
lstm,Precision,0.0,1.0,1.0,0.669,0.466,0.219
lstm,Recall,0.0,1.0,0.292,0.462,0.431,0.187
lstm,F-Score,0.0,1.0,0.45,0.503,0.421,0.178
svm,Precision,0.0,1.0,1.0,0.677,0.464,0.217
svm,Recall,0.0,1.0,0.333,0.466,0.429,0.185
svm,F-Score,0.0,1.0,0.5,0.509,0.418,0.176
