Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.531,0.499,0.251
birch,Recall,0.0,1.0,0.333,0.435,0.456,0.21
birch,F-Score,0.0,1.0,0.5,0.461,0.459,0.212
iforest,Precision,0.0,1.0,1.0,0.508,0.5,0.252
iforest,Recall,0.0,1.0,0.25,0.426,0.461,0.214
iforest,F-Score,0.0,1.0,0.4,0.448,0.463,0.216
knn,Precision,0.0,1.0,0.0,0.485,0.5,0.252
knn,Recall,0.0,1.0,0.0,0.41,0.462,0.215
knn,F-Score,0.0,1.0,0.0,0.431,0.465,0.218
lstm,Precision,0.0,1.0,1.0,0.515,0.5,0.252
lstm,Recall,0.0,1.0,0.292,0.427,0.459,0.213
lstm,F-Score,0.0,1.0,0.45,0.451,0.461,0.215
svm,Precision,0.0,1.0,1.0,0.523,0.499,0.251
svm,Recall,0.0,1.0,0.333,0.435,0.461,0.214
svm,F-Score,0.0,1.0,0.5,0.459,0.462,0.215
