Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.25,0.458,0.477,0.229
birch,Recall,0.0,1.0,0.25,0.496,0.498,0.25
birch,F-Score,0.0,1.0,0.25,0.471,0.48,0.232
iforest,Precision,0.0,1.0,0.5,0.481,0.478,0.23
iforest,Recall,0.0,1.0,1.0,0.519,0.498,0.25
iforest,F-Score,0.0,1.0,0.667,0.494,0.481,0.233
knn,Precision,0.0,1.0,0.5,0.481,0.478,0.23
knn,Recall,0.0,1.0,1.0,0.519,0.498,0.25
knn,F-Score,0.0,1.0,0.667,0.494,0.481,0.233
lstm,Precision,0.0,1.0,0.5,0.465,0.477,0.229
lstm,Recall,0.0,1.0,0.75,0.504,0.498,0.25
lstm,F-Score,0.0,1.0,0.584,0.478,0.48,0.232
svm,Precision,0.0,1.0,0.5,0.481,0.478,0.23
svm,Recall,0.0,1.0,1.0,0.519,0.498,0.25
svm,F-Score,0.0,1.0,0.667,0.494,0.481,0.233
