Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.818,0.374,0.141
birch,Recall,0.0,1.0,1.0,0.838,0.368,0.136
birch,F-Score,0.0,1.0,1.0,0.824,0.369,0.138
iforest,Precision,0.0,1.0,1.0,0.826,0.367,0.136
iforest,Recall,0.0,1.0,1.0,0.846,0.361,0.131
iforest,F-Score,0.0,1.0,1.0,0.832,0.363,0.132
knn,Precision,0.0,1.0,1.0,0.826,0.367,0.136
knn,Recall,0.0,1.0,1.0,0.846,0.361,0.131
knn,F-Score,0.0,1.0,1.0,0.832,0.363,0.132
lstm,Precision,0.0,1.0,1.0,0.803,0.387,0.151
lstm,Recall,0.0,1.0,1.0,0.823,0.382,0.147
lstm,F-Score,0.0,1.0,1.0,0.809,0.382,0.147
svm,Precision,0.0,1.0,1.0,0.826,0.367,0.136
svm,Recall,0.0,1.0,1.0,0.846,0.361,0.131
svm,F-Score,0.0,1.0,1.0,0.832,0.363,0.132
