Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.623,0.473,0.225
birch,Recall,0.0,1.0,0.5,0.538,0.45,0.204
birch,F-Score,0.0,1.0,0.667,0.555,0.439,0.194
iforest,Precision,0.0,1.0,1.0,0.635,0.476,0.228
iforest,Recall,0.0,1.0,0.5,0.538,0.45,0.204
iforest,F-Score,0.0,1.0,0.667,0.563,0.443,0.198
knn,Precision,0.0,1.0,1.0,0.635,0.476,0.228
knn,Recall,0.0,1.0,0.5,0.538,0.45,0.204
knn,F-Score,0.0,1.0,0.667,0.563,0.443,0.198
lstm,Precision,0.0,1.0,1.0,0.623,0.473,0.225
lstm,Recall,0.0,1.0,0.5,0.538,0.45,0.204
lstm,F-Score,0.0,1.0,0.667,0.555,0.439,0.194
svm,Precision,0.0,1.0,1.0,0.635,0.476,0.228
svm,Recall,0.0,1.0,0.5,0.538,0.45,0.204
svm,F-Score,0.0,1.0,0.667,0.563,0.443,0.198
