Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.853,0.344,0.119
birch,Recall,0.0,1.0,1.0,0.869,0.337,0.115
birch,F-Score,0.0,1.0,1.0,0.858,0.339,0.116
iforest,Precision,0.0,1.0,1.0,0.853,0.344,0.119
iforest,Recall,0.0,1.0,1.0,0.869,0.337,0.115
iforest,F-Score,0.0,1.0,1.0,0.858,0.339,0.116
knn,Precision,0.0,1.0,1.0,0.853,0.344,0.119
knn,Recall,0.0,1.0,1.0,0.869,0.337,0.115
knn,F-Score,0.0,1.0,1.0,0.858,0.339,0.116
lstm,Precision,0.0,1.0,1.0,0.845,0.352,0.125
lstm,Recall,0.0,1.0,1.0,0.862,0.345,0.12
lstm,F-Score,0.0,1.0,1.0,0.85,0.347,0.121
svm,Precision,0.0,1.0,1.0,0.853,0.344,0.119
svm,Recall,0.0,1.0,1.0,0.869,0.337,0.115
svm,F-Score,0.0,1.0,1.0,0.858,0.339,0.116
