Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.654,0.476,0.228
birch,Recall,0.0,1.0,0.333,0.47,0.428,0.185
birch,F-Score,0.0,1.0,0.5,0.517,0.426,0.183
iforest,Precision,0.0,1.0,1.0,0.608,0.488,0.24
iforest,Recall,0.0,1.0,0.333,0.452,0.435,0.191
iforest,F-Score,0.0,1.0,0.5,0.493,0.437,0.192
knn,Precision,0.0,1.0,1.0,0.6,0.49,0.242
knn,Recall,0.0,1.0,0.333,0.456,0.44,0.195
knn,F-Score,0.0,1.0,0.5,0.495,0.441,0.196
lstm,Precision,0.0,1.0,1.0,0.638,0.48,0.233
lstm,Recall,0.0,1.0,0.367,0.464,0.428,0.185
lstm,F-Score,0.0,1.0,0.536,0.51,0.428,0.185
svm,Precision,0.0,1.0,1.0,0.631,0.483,0.235
svm,Recall,0.0,1.0,0.333,0.458,0.431,0.187
svm,F-Score,0.0,1.0,0.5,0.503,0.43,0.187
