Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.5,0.5,0.5,0.252
birch,Recall,0.0,1.0,0.166,0.46,0.479,0.232
birch,F-Score,0.0,1.0,0.25,0.473,0.482,0.234
iforest,Precision,0.0,1.0,0.0,0.477,0.499,0.251
iforest,Recall,0.0,1.0,0.0,0.437,0.477,0.229
iforest,F-Score,0.0,1.0,0.0,0.45,0.48,0.232
knn,Precision,0.0,1.0,0.0,0.492,0.5,0.252
knn,Recall,0.0,1.0,0.0,0.453,0.479,0.231
knn,F-Score,0.0,1.0,0.0,0.465,0.481,0.234
lstm,Precision,0.0,1.0,0.0,0.492,0.5,0.252
lstm,Recall,0.0,1.0,0.0,0.458,0.481,0.233
lstm,F-Score,0.0,1.0,0.0,0.469,0.484,0.236
svm,Precision,0.0,1.0,0.5,0.5,0.5,0.252
svm,Recall,0.0,1.0,0.166,0.463,0.48,0.232
svm,F-Score,0.0,1.0,0.25,0.475,0.483,0.235
