Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.819,0.378,0.144
birch,Recall,0.0,1.0,0.5,0.555,0.393,0.155
birch,F-Score,0.0,1.0,0.667,0.616,0.368,0.136
iforest,Precision,0.0,1.0,1.0,0.828,0.375,0.142
iforest,Recall,0.0,1.0,0.5,0.57,0.397,0.159
iforest,F-Score,0.0,1.0,0.667,0.632,0.373,0.14
knn,Precision,0.0,1.0,1.0,0.828,0.375,0.142
knn,Recall,0.0,1.0,0.5,0.57,0.397,0.159
knn,F-Score,0.0,1.0,0.667,0.632,0.373,0.14
lstm,Precision,0.0,1.0,1.0,0.819,0.376,0.142
lstm,Recall,0.0,1.0,0.5,0.567,0.395,0.157
lstm,F-Score,0.0,1.0,0.667,0.625,0.369,0.137
svm,Precision,0.0,1.0,1.0,0.828,0.375,0.142
svm,Recall,0.0,1.0,0.5,0.57,0.397,0.159
svm,F-Score,0.0,1.0,0.667,0.632,0.373,0.14
