Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.485,0.5,0.252
birch,Recall,0.0,1.0,0.0,0.485,0.5,0.252
birch,F-Score,0.0,1.0,0.0,0.485,0.5,0.252
iforest,Precision,0.0,1.0,0.0,0.485,0.5,0.252
iforest,Recall,0.0,1.0,0.0,0.485,0.5,0.252
iforest,F-Score,0.0,1.0,0.0,0.485,0.5,0.252
knn,Precision,0.0,1.0,0.0,0.485,0.5,0.252
knn,Recall,0.0,1.0,0.0,0.485,0.5,0.252
knn,F-Score,0.0,1.0,0.0,0.485,0.5,0.252
lstm,Precision,0.0,1.0,0.0,0.477,0.499,0.251
lstm,Recall,0.0,1.0,0.0,0.477,0.499,0.251
lstm,F-Score,0.0,1.0,0.0,0.477,0.499,0.251
svm,Precision,0.0,1.0,0.0,0.485,0.5,0.252
svm,Recall,0.0,1.0,0.0,0.485,0.5,0.252
svm,F-Score,0.0,1.0,0.0,0.485,0.5,0.252
