Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.615,0.487,0.239
birch,Recall,0.0,1.0,0.5,0.469,0.433,0.189
birch,F-Score,0.0,1.0,0.667,0.512,0.436,0.192
iforest,Precision,0.0,1.0,1.0,0.631,0.483,0.235
iforest,Recall,0.0,1.0,0.5,0.484,0.433,0.189
iforest,F-Score,0.0,1.0,0.667,0.527,0.436,0.191
knn,Precision,0.0,1.0,1.0,0.631,0.483,0.235
knn,Recall,0.0,1.0,0.5,0.484,0.433,0.189
knn,F-Score,0.0,1.0,0.667,0.527,0.436,0.191
lstm,Precision,0.0,1.0,1.0,0.619,0.484,0.236
lstm,Recall,0.0,1.0,0.5,0.477,0.433,0.189
lstm,F-Score,0.0,1.0,0.667,0.518,0.436,0.191
svm,Precision,0.0,1.0,1.0,0.631,0.483,0.235
svm,Recall,0.0,1.0,0.5,0.484,0.433,0.189
svm,F-Score,0.0,1.0,0.667,0.527,0.436,0.191
