Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.569,0.495,0.247
birch,Recall,0.0,1.0,0.5,0.526,0.478,0.23
birch,F-Score,0.0,1.0,0.667,0.54,0.479,0.231
iforest,Precision,0.0,1.0,1.0,0.592,0.491,0.243
iforest,Recall,0.0,1.0,1.0,0.553,0.478,0.23
iforest,F-Score,0.0,1.0,1.0,0.565,0.478,0.23
knn,Precision,0.0,1.0,1.0,0.592,0.491,0.243
knn,Recall,0.0,1.0,1.0,0.553,0.478,0.23
knn,F-Score,0.0,1.0,1.0,0.565,0.478,0.23
lstm,Precision,0.0,1.0,1.0,0.577,0.494,0.246
lstm,Recall,0.0,1.0,0.5,0.533,0.477,0.23
lstm,F-Score,0.0,1.0,0.667,0.547,0.478,0.231
svm,Precision,0.0,1.0,1.0,0.592,0.491,0.243
svm,Recall,0.0,1.0,1.0,0.553,0.478,0.23
svm,F-Score,0.0,1.0,1.0,0.565,0.478,0.23
