Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.851,0.348,0.122
birch,Recall,0.0,1.0,1.0,0.785,0.365,0.135
birch,F-Score,0.0,1.0,1.0,0.803,0.349,0.123
iforest,Precision,0.0,1.0,1.0,0.862,0.345,0.12
iforest,Recall,0.0,1.0,1.0,0.777,0.366,0.135
iforest,F-Score,0.0,1.0,1.0,0.804,0.349,0.122
knn,Precision,0.0,1.0,1.0,0.862,0.345,0.12
knn,Recall,0.0,1.0,1.0,0.776,0.364,0.134
knn,F-Score,0.0,1.0,1.0,0.803,0.347,0.122
lstm,Precision,0.0,1.0,1.0,0.849,0.35,0.124
lstm,Recall,0.0,1.0,1.0,0.765,0.367,0.136
lstm,F-Score,0.0,1.0,1.0,0.79,0.35,0.123
svm,Precision,0.0,1.0,1.0,0.862,0.345,0.12
svm,Recall,0.0,1.0,1.0,0.777,0.366,0.135
svm,F-Score,0.0,1.0,1.0,0.804,0.349,0.122
