Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.662,0.473,0.226
birch,Recall,0.0,1.0,0.225,0.434,0.433,0.189
birch,F-Score,0.0,1.0,0.367,0.478,0.426,0.183
iforest,Precision,0.0,1.0,1.0,0.638,0.48,0.233
iforest,Recall,0.0,1.0,0.25,0.431,0.436,0.192
iforest,F-Score,0.0,1.0,0.4,0.472,0.431,0.187
knn,Precision,0.0,1.0,1.0,0.612,0.485,0.237
knn,Recall,0.0,1.0,0.25,0.438,0.442,0.197
knn,F-Score,0.0,1.0,0.4,0.473,0.438,0.193
lstm,Precision,0.0,1.0,1.0,0.659,0.472,0.225
lstm,Recall,0.0,1.0,0.25,0.437,0.432,0.188
lstm,F-Score,0.0,1.0,0.4,0.481,0.425,0.182
svm,Precision,0.0,1.0,1.0,0.654,0.476,0.228
svm,Recall,0.0,1.0,0.25,0.437,0.433,0.189
svm,F-Score,0.0,1.0,0.4,0.481,0.427,0.184
