Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.805,0.389,0.153
birch,Recall,0.0,1.0,0.5,0.579,0.407,0.167
birch,F-Score,0.0,1.0,0.667,0.631,0.383,0.148
iforest,Precision,0.0,1.0,1.0,0.815,0.388,0.152
iforest,Recall,0.0,1.0,0.5,0.582,0.409,0.169
iforest,F-Score,0.0,1.0,0.667,0.638,0.385,0.15
knn,Precision,0.0,1.0,1.0,0.815,0.388,0.152
knn,Recall,0.0,1.0,0.5,0.584,0.408,0.168
knn,F-Score,0.0,1.0,0.667,0.64,0.385,0.149
lstm,Precision,0.0,1.0,1.0,0.812,0.389,0.152
lstm,Recall,0.0,1.0,0.5,0.586,0.411,0.17
lstm,F-Score,0.0,1.0,0.667,0.639,0.387,0.151
svm,Precision,0.0,1.0,1.0,0.815,0.388,0.152
svm,Recall,0.0,1.0,0.5,0.579,0.407,0.167
svm,F-Score,0.0,1.0,0.667,0.636,0.384,0.149
