Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.615,0.487,0.256
birch,Recall,0.0,1.0,0.333,0.423,0.417,0.188
birch,F-Score,0.0,1.0,0.5,0.474,0.418,0.189
iforest,Precision,0.0,1.0,1.0,0.538,0.499,0.269
iforest,Recall,0.0,1.0,0.333,0.346,0.395,0.169
iforest,F-Score,0.0,1.0,0.5,0.397,0.406,0.178
knn,Precision,0.0,1.0,1.0,0.538,0.499,0.269
knn,Recall,0.0,1.0,0.333,0.346,0.395,0.169
knn,F-Score,0.0,1.0,0.5,0.397,0.406,0.178
lstm,Precision,0.0,1.0,1.0,0.615,0.487,0.256
lstm,Recall,0.0,1.0,0.333,0.423,0.417,0.188
lstm,F-Score,0.0,1.0,0.5,0.474,0.418,0.189
svm,Precision,0.0,1.0,1.0,0.538,0.499,0.269
svm,Recall,0.0,1.0,0.333,0.346,0.395,0.169
svm,F-Score,0.0,1.0,0.5,0.397,0.406,0.178
