Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.719,0.447,0.202
birch,Recall,0.0,1.0,0.5,0.496,0.404,0.165
birch,F-Score,0.0,1.0,0.667,0.556,0.399,0.16
iforest,Precision,0.0,1.0,1.0,0.7,0.458,0.212
iforest,Recall,0.0,1.0,0.5,0.494,0.415,0.174
iforest,F-Score,0.0,1.0,0.667,0.549,0.411,0.17
knn,Precision,0.0,1.0,1.0,0.7,0.458,0.212
knn,Recall,0.0,1.0,0.5,0.494,0.415,0.174
knn,F-Score,0.0,1.0,0.667,0.549,0.411,0.17
lstm,Precision,0.0,1.0,1.0,0.708,0.455,0.208
lstm,Recall,0.0,1.0,0.5,0.498,0.413,0.172
lstm,F-Score,0.0,1.0,0.667,0.555,0.408,0.168
svm,Precision,0.0,1.0,1.0,0.723,0.447,0.202
svm,Recall,0.0,1.0,0.5,0.5,0.406,0.166
svm,F-Score,0.0,1.0,0.667,0.56,0.401,0.162
